dist,lon,lat,age_ma
4.103420528,-42.58654347,24.59014446,22.04
4.137333094,-42.55314693,24.58425095,22.21
4.17124566,-42.51975039,24.57835745,22.56
4.205158227,-42.48635385,24.57246394,22.69
4.239070793,-42.45295732,24.56657043,22.84
4.272983359,-42.41956078,24.56067693,23.05
4.306895926,-42.38616424,24.55478342,23.27
4.340808492,-42.3527677,24.54888991,23.52
4.374721058,-42.31937117,24.54299641,23.67
4.408633625,-42.28597463,24.5371029,23.85
4.442546191,-42.25257809,24.53120939,24
4.476458757,-42.21918155,24.52531589,24.17
4.510371324,-42.18578501,24.51942238,24.3
4.54428389,-42.15238848,24.51352887,24.75
4.578196456,-42.11899194,24.50763537,24.97
4.612109023,-42.0855954,24.50174186,25.05
4.646021589,-42.05219886,24.49584835,25.18
4.679934155,-42.01880233,24.48995485,25.37
4.713846722,-41.98540579,24.48406134,25.63
4.747759288,-41.95200925,24.47816783,25.97
4.781671854,-41.91861271,24.47227433,26.14
4.815584421,-41.88521617,24.46638082,26.28
4.849496987,-41.85181964,24.46048731,26.41
4.883409554,-41.8184231,24.45459381,26.56
4.91732212,-41.78502656,24.4487003,26.98
4.951234686,-41.75163002,24.44280679,27.13
4.985147253,-41.71823349,24.43691329,27.29
5.019059819,-41.68483695,24.43101978,27.39
5.052972385,-41.65144041,24.42512627,27.52
5.086884952,-41.61804387,24.41923277,27.68
5.120797518,-41.58464733,24.41333926,28.19
5.154710084,-41.5512508,24.40744575,28.33
5.188622651,-41.51785426,24.40155225,28.52
5.222535217,-41.48445772,24.39565874,28.73
5.256447783,-41.45106118,24.38976523,28.84
5.29036035,-41.41766465,24.38387173,28.98
5.324272916,-41.38426811,24.37797822,29.38
5.358185482,-41.35087157,24.37208471,29.54
5.392098049,-41.31747503,24.36619121,29.69
5.426010615,-41.28407849,24.3602977,29.84
5.459923181,-41.25068196,24.35440419,29.99
5.493835748,-41.21728542,24.34851069,30.41
5.527748314,-41.18388888,24.34261718,30.59
5.56166088,-41.15049234,24.33672367,30.76
5.595573447,-41.11709581,24.33083017,30.94
5.629486013,-41.08369927,24.32493666,31.13
5.663398579,-41.05030273,24.31904315,31.29
5.697311146,-41.01690619,24.31314965,31.77
5.731223712,-40.98350965,24.30725614,31.97
5.765136278,-40.95011312,24.30136263,32.06
5.799048845,-40.91671658,24.29546913,32.17
5.832961411,-40.88332004,24.28957562,32.37
5.866873977,-40.8499235,24.28368211,32.48
5.900786544,-40.81652697,24.27778861,32.86
5.93469911,-40.78313043,24.2718951,33.04
5.968611677,-40.74973389,24.26600159,33.22
6.002524243,-40.71633735,24.26010809,33.38
6.036436809,-40.68294082,24.25421458,33.57
6.070349376,-40.64954428,24.24832107,33.94
6.104261942,-40.61614774,24.24242757,34.11
6.138174508,-40.5827512,24.23653406,34.28
6.172087075,-40.54935466,24.23064055,34.45
6.205999641,-40.51595813,24.22474705,34.62
6.239912207,-40.48256159,24.21885354,34.75
6.273824774,-40.44916505,24.21296003,35.06
6.30773734,-40.41576851,24.20706653,35.17
6.341649906,-40.38237198,24.20117302,35.36
6.375562473,-40.34897544,24.19527951,35.54
6.409475039,-40.3155789,24.18938601,35.7
6.443387605,-40.28218236,24.1834925,35.8
6.477300172,-40.24878582,24.17759899,36.06
6.511212738,-40.21538929,24.17170549,36.15
6.545125304,-40.18199275,24.16581198,36.34
6.579037871,-40.14859621,24.15991847,36.53
6.612950437,-40.11519967,24.15402497,36.71
6.646863003,-40.08180314,24.14813146,37.02
6.68077557,-40.0484066,24.14223795,37.15
6.714688136,-40.01501006,24.13634445,37.29
6.748600702,-39.98161352,24.13045094,37.48
6.782513269,-39.94821698,24.12455743,37.68
6.816425835,-39.91482045,24.11866393,37.89
6.850338401,-39.88142391,24.11277042,38.18
6.884250968,-39.84802737,24.10687691,38.39
6.918163534,-39.81463083,24.10098341,38.59
6.9520761,-39.7812343,24.0950899,38.78
6.985988667,-39.74783776,24.08919639,38.96
7.019901233,-39.71444122,24.08330289,39.23
7.0538138,-39.68104468,24.07740938,39.36
7.087726366,-39.64764814,24.07151587,39.47
7.121638932,-39.61425161,24.06562237,39.59
7.155551499,-39.58085507,24.05972886,39.74
7.189464065,-39.54745853,24.05383535,39.99
7.223376631,-39.51406199,24.04794185,40.21
7.257289198,-39.48066546,24.04204834,40.39
7.291201764,-39.44726892,24.03615483,40.61
