time,eccentricity,obliquity,perihelion,insolation,global_insolation
-19919,0.0391354,0.417365507,0.295951024,490.8030277,342.212163
-19918,0.038494435,0.41611655,0.595245734,479.4018051,342.2036364
-19917,0.037825764,0.414640451,0.899654209,469.9821613,342.1948919
-19916,0.037117408,0.412972708,1.202117999,463.3868502,342.1857963
-19915,0.03641407,0.411151344,1.506596008,459.8210479,342.1769359
-19914,0.035682808,0.409213407,1.812220109,459.3844555,342.1679042
-19913,0.034988901,0.407208626,2.118659037,461.7995589,342.1595039
-19912,0.034143527,0.405183798,2.427303872,466.7659901,342.1494937
-19911,0.033426074,0.403190459,2.735497384,473.3452386,342.141191
-19910,0.032632808,0.401280993,3.047004819,480.9422623,342.1322169
-19909,0.031777925,0.399502641,3.359662453,488.5404325,342.1227877
-19908,0.030982055,0.397896759,3.671923335,495.2222859,342.1142351
-19907,0.030141421,0.396505229,3.987653707,500.3063438,342.1054376
-19906,0.029271765,0.395358166,4.305569427,503.1565531,342.0965918
-19905,0.0284183,0.394475993,4.62147013,503.4805835,342.0881631
-19904,0.027517004,0.393878286,4.942592976,501.2823266,342.0795334
-19903,0.02668067,0.393568326,5.263925092,496.9485779,342.071775
-19902,0.025740373,0.393543889,5.586989976,490.8961945,342.0633387
-19901,0.024886189,0.393799814,5.911651948,484.003469,342.0559379
-19900,0.024039728,0.394322542,6.238500688,476.9956154,342.0488508
-19899,0.023121586,0.395091812,0.28377891,470.6985806,342.0414412
-19898,0.022335809,0.396086197,0.614594996,465.7562371,342.0353294
-19897,0.021459039,0.397277151,0.943667142,462.8369616,342.0287595
-19896,0.020677514,0.398630565,1.280236012,462.0309735,342.0231254
-19895,0.019851507,0.400113169,1.614800452,463.6365244,342.0173981
-19894,0.019054398,0.401685079,1.951500652,467.3954486,342.0120928
-19893,0.018352309,0.403303825,2.293990506,472.9390744,342.0076002
-19892,0.017569716,0.404932202,2.636577878,479.8189109,342.0027913
-19891,0.016843251,0.40652492,2.983859701,487.3058257,341.9985151
-19890,0.016249064,0.408046171,3.332849667,494.6669882,341.9951518
-19889,0.015542233,0.409462795,3.690317069,501.2652573,341.9913084
-19888,0.014984637,0.410747045,4.048177703,506.4374788,341.9883971
-19887,0.014460407,0.411875925,4.411446961,509.7707923,341.9857571
-19886,0.013984931,0.412835912,4.782540615,511.0318765,341.9834439
-19885,0.013629187,0.413613247,5.155794178,510.2846005,341.9817638
-19884,0.013255456,0.414199303,5.53316652,507.6644799,341.9800455
-19883,0.013115787,0.414592224,5.914764105,503.7846165,341.9794156
-19882,0.012985496,0.414789112,0.016846334,499.063658,341.978834
-19881,0.012930988,0.414789768,0.400890494,494.2565955,341.9785924
-19880,0.013069717,0.414598206,0.783827331,489.8981751,341.9792093
-19879,0.013218004,0.414217527,1.165805608,486.5919267,341.9798759
-19878,0.013520667,0.41365632,1.546914988,484.6256303,341.98126
