dist,lon,lat,depth_m
2.049584139,-44.60912778,24.9470711,-3279
2.066522851,-44.59244681,24.9441274,-3226
2.083461563,-44.57576585,24.9411837,-3212
2.100400275,-44.55908488,24.93824,-3179
2.117338987,-44.54240392,24.93529631,-3182
2.134277699,-44.52572295,24.93235261,-3214
2.151216411,-44.50904199,24.92940891,-3261
2.168155122,-44.49236102,24.92646521,-3303
2.185093834,-44.47568006,24.92352151,-3288
2.202032546,-44.45899909,24.92057781,-3300
2.218971258,-44.44231813,24.91763411,-3332
2.23590997,-44.42563716,24.91469041,-3410
2.252848682,-44.4089562,24.91174671,-3493
2.269787394,-44.39227523,24.90880301,-3546
2.286726106,-44.37559427,24.90585931,-3725
2.303664818,-44.3589133,24.90291561,-3701
2.320603529,-44.34223234,24.89997191,-3671
2.337542241,-44.32555137,24.89702821,-3683
2.354480953,-44.30887041,24.89408451,-3651
2.371419665,-44.29218944,24.89114081,-3523
2.388358377,-44.27550848,24.88819711,-3296
2.405297089,-44.25882751,24.88525341,-3199
2.422235801,-44.24214655,24.88230971,-3152
2.439174513,-44.22546558,24.87936601,-3108
2.456113225,-44.20878462,24.87642231,-3088
2.473051937,-44.19210365,24.87347861,-3161
2.489990648,-44.17542269,24.87053491,-3187
2.50692936,-44.15874172,24.86759121,-3238
2.523868072,-44.14206076,24.86464751,-3318
2.540806784,-44.12537979,24.86170381,-3422
2.557745496,-44.10869883,24.85876011,-3539
2.574684208,-44.09201786,24.85581641,-3669
2.59162292,-44.0753369,24.85287271,-3762
2.608561632,-44.05865593,24.84992901,-3801
2.625500344,-44.04197497,24.84698531,-3836
2.642439055,-44.025294,24.84404161,-3867
2.659377767,-44.00861304,24.84109791,-3869
2.676316479,-43.99193207,24.83815421,-3897
2.693255191,-43.97525111,24.83521052,-3915
2.710193903,-43.95857014,24.83226682,-3919
2.727132615,-43.94188918,24.82932312,-3911
2.744071327,-43.92520821,24.82637942,-3889
2.761010039,-43.90852725,24.82343572,-3880
2.777948751,-43.89184628,24.82049202,-3830
2.794887463,-43.87516532,24.81754832,-3763
2.811826174,-43.85848435,24.81460462,-3713
2.828764886,-43.84180339,24.81166092,-3653
2.845703598,-43.82512242,24.80871722,-3612
2.86264231,-43.80844146,24.80577352,-3543
2.879581022,-43.79176049,24.80282982,-3522
2.896519734,-43.77507953,24.79988612,-3494
2.913458446,-43.75839856,24.79694242,-3443
2.930397158,-43.7417176,24.79399872,-3388
2.94733587,-43.72503663,24.79105502,-3380
2.964274581,-43.70835567,24.78811132,-3357
2.981213293,-43.6916747,24.78516762,-3343
2.998152005,-43.67499374,24.78222392,-3345
3.015090717,-43.65831277,24.77928022,-3356
3.032029429,-43.64163181,24.77633652,-3367
3.048968141,-43.62495084,24.77339282,-3409
3.065906853,-43.60826988,24.77044912,-3405
3.082845565,-43.59158891,24.76750542,-3385
3.099784277,-43.57490795,24.76456172,-3348
